"Gene"	"Transcript"	"Best.transcript"	"Log2.ratio"	"FDR"	"Ctrl462"	"Ctrl1850"	"Ctrl18294"	"Mut1847"	"Mut1088"	"Mut20699"
"Gm3168"	"uc009nvu.1"	1	10.8722509227834	0.000963580369440502	6.36549661037092	6.29270219624294	6.1204011104038	18.2783157970296	6.70383242826849	6.54134763166208
"ENSMUSG00000073777"	"uc009nvv.1"	1	11.2207925640595	0.00112026754942123	4.55025157762443	5.39441637385955	5.23404582416192	17.2313252501264	5.55385944155728	5.27211616840973
"AK193394"	"uc009nvw.1"	1	10.8700194779194	0.00333031333207469	2.5681693861122	2.62717530235616	2.33149126326214	14.6366012889142	1.81908052342301	1.03534089374133
"Adamts15"	"uc009oqz.1"	1	-2.50823411203462	0.00112951840705707	8.06283100750105	8.8747667628825	7.42323777057188	5.44087093725328	6.40024130921864	5.27211616840973
"St3gal4"	"uc009osm.1"	1	-3.51064460689209	0.000498257663470725	8.01962788028596	10.8164767231746	8.04015056981748	6.04570960505326	5.85958779446061	6.54134763166208
"Slc37a2"	"uc009oul.2"	1	-6.2377058923186	5.68548598710111e-06	12.3120431555472	11.9169584017805	5.41107852072724	5.7108212816486	5.43108281276216	5.54113671240559
"Vsig2"	"uc009ovb.1"	1	-2.40688818558449	0.00335145874552104	11.0846310465885	10.9419980578031	10.3997955285619	8.00613247983864	9.50967280557875	6.4484338784504
"Trim29"	"uc009pbi.2"	1	2.7321562909239	0.01071619692534	4.12170170995645	2.62717530235616	1.83862249439275	5.96845596101514	6.03712587144429	4.8879859069694
"Fam55b"	"uc009phw.2"	1	-5.17606725621146	1.75133676470167e-10	11.158887007387	8.41862410716752	11.6345601302709	5.60485226579895	5.31700356140751	6.14763445469229
"Pou2af1"	"uc009plg.1"	1	1.78031786146667	0.0145020171198336	7.09608028021688	7.03595263357039	7.41114111038465	9.4917453364061	8.70954742736436	8.0695805381925
"Arhgap20"	"uc009plj.1"	1	-1.74327738361199	0.000302178791059289	10.3056146630441	10.0766789126836	11.3966748734631	9.01013742413547	8.60425394287637	9.27880643621586
"Gcnt3"	"uc009qnt.1"	1	-1.55166104224322	0.000826011871815362	14.407950188155	14.240323460867	14.1737507433814	12.6092581229663	12.9939267471389	12.8945915743561
"A4gnt"	"uc009rej.2"	1	-3.46796483638441	3.5341931517203e-07	10.6447794840603	9.87700661441319	10.4610123659785	5.30138085768573	6.79884216837595	7.80265518043363
"Cck"	"uc009sdg.2"	1	3.22119066498504	1.44863148166288e-06	5.73910694770224	4.64673931447381	4.02007525544666	8.08608891710387	8.00613247983864	7.84285884443089
"Cybb"	"uc009spv.2"	1	1.68105376555373	0.0121208101810847	7.03121384818035	7.31259726200377	7.88639301900952	9.4812564658452	8.84497838357083	8.6597637688556
"Maob"	"uc009ssb.2"	1	-1.93650076925857	0.000818134180669042	10.1101385529941	9.68706099616559	9.76444324693995	7.70389062060091	7.30113696368413	8.70483944879659
"Kdm5d"	"uc009uzb.1"	1	7.68038484525469	3.30543165593604e-05	0	2.62717530235616	0	9.59276889640199	0	10.0277637221858
"Smcy"	"uc009uzc.1"	1	7.68933093610534	2.61656848569897e-05	0	1.93036442346524	0	9.31314470479297	0	9.71182654277714
"Eif2s3y"	"uc009uzd.1"	1	9.18256086006678	3.37057645161743e-06	1.83862249439275	0	0	10.6701822209416	0	11.2746726746721
"Uty"	"uc009uzg.1"	1	8.06615853670306	1.40401447836862e-05	0	1.93036442346524	0	9.89990267095679	0	9.85695495476731
"Ddx3y"	"uc009uzm.2"	1	9.38069215312715	2.85300507785464e-06	1.83862249439275	0	0	10.8415134131375	0	11.5167744699809
"2810459M11Rik"	"uc011wog.1"	1	-2.80470839519885	1.30062940057932e-12	10.1606169332645	10.101156486146	9.68242933604502	7.38853607425707	7.22117395425145	7.22445606590064
"Capn8"	"uc011wxv.1"	1	-3.08421168039424	0.00175217641878941	7.55483783303698	6.89309650786622	8.49093958723871	3.51416790265092	4.78522013998897	4.95228491693179
"Rfx6"	"uc011xdr.1"	1	2.28205515799557	0.00267032299951129	5.51386417552771	5.60439347333634	5.62960127643584	7.56011673148921	7.6063708071833	8.02531647580302
"mKIAA0387"	"uc011yvq.1"	1	-1.72369987919674	0.006987078714247	11.5658114297559	10.2765996350038	11.5063481230272	9.04921204909854	9.11541311824737	10.3057206488723
"BB123696"	"uc011yzk.1"	1	-3.04247445498764	0.00958435042604154	6.84424477504545	6.04570960505326	4.32290890342783	3.24459624169163	3.02633981704522	2.10759566861063
"Rsl1"	"uc011zbi.1"	1	-3.04623201208622	0.00664049009822926	6.77236596232259	5.39441637385955	7.32385898891182	3.78246804028786	3.89157455768868	3.06221043275465
"NT2"	"uc011zbs.1"	1	2.49361617447622	0.0138704170845382	5.73910694770224	5.66627764667104	7.90491212634624	8.93956013229104	9.6980082930062	8.89229735928222
"Cyp2d11"	"uc011zwu.1"	1	-3.41996721561793	1.47398376368865e-14	9.4389886763595	9.98324842975581	9.3419677620446	6.59619322994181	6.40024130921864	5.7262393034577
