#1.2
12375	6
Human_name	Transcript	X462P	X1850P	X18294P	X1847P	X1088P	X20699P
C3orf30	uc007zfn.1	0	0	0	0	0	0
Gm9839	uc011xbi.1	0	3.13890012044006	1.07864367792527	1.797040311211	0	0
AF366264	uc011xbi.1	0	3.13890012044006	1.07864367792527	1.797040311211	0	0
C14orf39	uc007nvv.1	0	2.62717530235616	0	1.797040311211	0	1.03534089374133
1700001J03Rik	uc009ang.1	0	0	0	0	0	0
Gm3415	uc009ang.1	0	0	0	0	0	0
4933421I07Rik	uc009ang.1	0	0	0	0	0	0
1700123K08Rik	uc009ang.1	0	0	0	0	0	0
Gm3404	uc009ang.1	0	0	0	0	0	0
Gm5565	uc009ang.1	0	0	0	0	0	0
Gm6370	uc009ang.1	0	0	0	0	0	0
C16orf92	uc009jta.1	0	0	0	0	0	0
C3orf38	uc007zqc.1	9.16308283494732	9.24825806321409	8.89070636397226	8.87357675065483	8.98728278943909	8.82415192367895
LOC730159	uc011wup.1	0	0	0	0	0	0
Gm8271	uc007tdj.2	0	0	0	0	0	0
Gm8159	uc007tdj.2	0	0	0	0	0	0
Gm3667	uc007tdj.2	0	0	0	0	0	0
Gm3115	uc007tdj.2	0	0	0	0	0	0
Gm10406	uc007tdj.2	0	0	0	0	0	0
Gm38418	uc007tdj.2	0	0	0	0	0	0
Gm5796	uc007tdj.2	0	0	0	0	0	0
Gm3636	uc007tdj.2	0	0	0	0	0	0
Gm8246	uc007tdj.2	0	0	0	0	0	0
Gm3252	uc007tdj.2	0	0	0	0	0	0
Gm3269	uc007tdj.2	0	0	0	0	0	0
Gm3182	uc007tdj.2	0	0	0	0	0	0
Gm3043	uc007tdj.2	0	0	0	0	0	0
Gm3488	uc007tdj.2	0	0	0	0	0	0
Gm3558	uc007tdj.2	0	0	0	0	0	0
Gm2888	uc007tdj.2	0	0	0	0	0	0
Gm3164	uc007tdj.2	0	0	0	0	0	0
Gm10413	uc007tdj.2	0	0	0	0	0	0
Gm2974	uc007tdj.2	0	0	0	0	0	0
D830030K20Rik	uc007tdj.2	0	0	0	0	0	0
Gm5622	uc007tdj.2	0	0	0	0	0	0
Gm9602	uc007tdj.2	0	0	0	0	0	0
Gm3411	uc007tdj.2	0	0	0	0	0	0
Gm3317	uc007tdj.2	0	0	0	0	0	0
Gm7995	uc007tdj.2	0	0	0	0	0	0
Gm3149	uc007tdj.2	0	0	0	0	0	0
Gm3453	uc007tdj.2	0	0	0	0	0	0
Gm3095	uc007tdj.2	0	0	0	0	0	0
Gm6337	uc007tdj.2	0	0	0	0	0	0
Gm3239	uc007tdj.2	0	0	0	0	0	0
4930555G01Rik	uc007tdj.2	0	0	0	0	0	0
Gm3696	uc007tdj.2	0	0	0	0	0	0
C18orf54	uc008fod.1	5.32766642278789	5.31737042634196	6.42707977458938	6.15057673335893	5.60804555928266	5.90589456450326
C1orf185	uc008ucp.2	0	0	0	0	0	0
C5orf47	uc007iiu.1	0	0	0	0	0	0
C6orf222	uc008bru.1	11.0254750840472	10.7600773217996	12.0583532361815	11.9508907363833	11.5691188073501	12.015123797605
C1orf234	uc008vii.1	0	0	0	0	0	0
C16orf96	uc007yan.2	2.5681693861122	1.93036442346524	3.78345450493075	2.48302206273401	3.02633981704522	3.9758349975705
C17orf100	uc011xyh.1	3.6961093916465	4.88177576808509	4.48461530644196	4.29856421633106	4.66899212004356	4.25604273082619
CXorf36	uc012hfb.1	3.37784634213167	2.62717530235616	3.65926126253831	0	0	4.09531410083909
C8orf74	uc007uhz.1	0	0	0	0	0	0
C4orf17	uc008rnb.2	0	0	0	0	0	1.03534089374133
C3orf20	uc009cyl.1	2.5681693861122	0	2.60460545198098	1.797040311211	2.53716042659793	2.62717530235616
KIAA0355	uc009giz.1	9.4846581831167	9.59823345831209	9.68809311294248	9.71465220361261	9.55775656178898	9.86050681625302
C14orf93	uc007twk.1	7.64965449049762	7.58525305587329	7.53108747580089	7.91406891532451	7.50516402882385	6.95323901154852
KIAA1109	uc008pab.2	11.506923764133	11.2070098000199	11.4495905542098	11.5339247949632	11.6141333728609	11.3764562096447
C16orf78	uc009mqt.1	0	0	0	0	0	0
C10orf120	uc009kay.1	0	0	0	0	0	0
Speer4e	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm6673	uc008wlv.1	0	0	1.07864367792527	0	0	0
Speer2	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm7361	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm10354	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm5862	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm17019	uc008wlv.1	0	0	1.07864367792527	0	0	0
Speer4a	uc008wlv.1	0	0	1.07864367792527	0	0	0
5031410I06Rik	uc008wlv.1	0	0	1.07864367792527	0	0	0
Speer4c	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm21680	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm21663	uc008wlv.1	0	0	1.07864367792527	0	0	0
Gm21149	uc008wlv.1	0	0	1.07864367792527	0	0	0
C17orf74	uc007jru.1	0	0	1.07864367792527	0	0	1.03534089374133
C16orf86	uc009nea.2	0	1.93036442346524	1.83862249439275	1.797040311211	0	1.79187768076034
C15orf43	uc008mai.2	0	0	1.83862249439275	1.797040311211	3.37654835608825	0
C6orf201	uc007qbu.2	7.18850899581842	6.90940233423361	5.57955457715481	7.74709906704728	7.44265429945508	3.89065358525282
KIAA0753	uc007jyg.1	8.16147235675654	8.13470141951451	8.34961930104315	7.95459088464819	8.27810777167548	8.1825007681665
C9orf43	uc008tfc.1	3.05151077047267	3.13890012044006	3.4946061799025	3.51416790265092	2.53716042659793	3.78246804028786
C1orf43	uc008qbd.2	9.55407720239649	9.5708733169048	9.29740323054692	9.6024873780572	9.46797389436908	9.35612798680545
KIAA0930	uc007xcr.1	10.1326114993146	9.95180829800758	9.66713715032131	10.2082142959401	10.3573810846553	9.90667864297946
KIAA1324	uc008qzd.1	12.110115641102	11.3023950910005	12.8165811927589	10.0104548377707	10.4106005840246	12.2265612985176
Gm6619	uc009eiu.1	0	0	0	0	0	0
CXorf21	uc009tsa.2	3.6961093916465	3.46520069276647	3.14588884585938	5.37533506942036	4.11809649301441	3.6853911853689
Gm5885	uc009eka.1	0	0	0	0	0	0
C1orf216	uc008utp.2	6.3346816135236	6.17832522864697	7.556345880343	6.6249858838965	5.9555138045555	7.35799513309629
C17orf75	uc007klv.2	8.85408474119209	8.52244731887925	9.03119870793918	8.27323153360653	8.48812753368542	9.01672906066165
C17orf99	uc007mnv.2	1.83862249439275	2.62717530235616	3.14588884585938	3.24459624169163	2.53716042659793	2.62717530235616
C1orf95	uc007dwh.1	6.80547712335973	6.99555567813387	8.3681141950739	6.3803997183482	6.11133108989686	9.22004681494916
LOC728392	uc007jxo.1	4.78287553735153	5.47396864472144	5.45491654247203	3.9643187451138	4.66899212004356	6.59554626274186
C9orf91	uc008tgs.1	9.25972318970386	9.33131729813173	9.46265514844735	9.46440579880916	9.65193759576676	9.17862833728588
KIAA0513	uc009nqu.2	10.8573671265625	10.8773106106219	10.7846638544315	10.2818127133463	10.1547430724786	10.4344827753563
Gm33700	uc009rdp.1	0	0	0	0	0	0
C18orf25	uc008frn.1	8.5997887418923	8.69210603431538	8.60736776268473	8.53711436813024	8.71458523881871	8.42604835231815
C10orf10	uc009dkq.2	6.85991676979004	6.68417129503174	6.4000527339114	4.78572804266776	5.8106687836741	5.94058472918579
Gm3435	uc008ano.2	5.13928151279046	5.39441637385955	4.95611321206836	5.4975287844591	5.31700356140751	4.70935894291005
C16orf62	uc009jko.2	10.2120536845287	10.1124923013632	10.0594294107674	10.3846942980575	10.3101256206087	10.0425792697905
C10orf76	uc008hrv.1	9.22099060504572	8.95621759357435	8.65360513480213	8.99482547116242	9.12794020302985	8.88639956652307
Zfp747	uc009jve.1	7.34475432830119	7.75835351098552	7.02651841715338	7.50785673177518	7.30113696368413	6.8299028494591
Gm35185	uc008qdh.1	0	0	0	0	0	0
C8orf76	uc007vta.1	8.21248785930227	7.83617577745932	7.51663477580283	8.00613247983864	7.92099617775323	7.55369873999958
KIAA0408	uc007esv.2	4.41639514603539	4.50794641767328	5.35453253142426	4.88846322616376	2.53716042659793	5.97197932175461
KIAA1324L	uc008wlk.1	5.13928151279046	5.31737042634196	5.66998655669495	3.9643187451138	3.37654835608825	5.57805722686214
C1orf159	uc012drg.1	7.3314102251778	8.20661166918956	8.12966467184309	7.53409038939501	7.96150037782911	7.62781032833924
KIAA1462	uc008dyl.1	6.42179205088527	6.74901631302375	7.91390923673719	6.15057673335893	5.9555138045555	8.57626768791851
KIAA0895	uc009oom.1	4.55025157762443	4.16963730633402	6.1204011104038	3.24459624169163	4.89018382716595	5.49687789378617
C8orf58	uc007unh.2	5.73910694770224	5.66627764667104	4.88225722889061	5.7108212816486	6.42936891940663	5.16606233056432
